SID,ISO_TIME,VMAX,RMAX,LAT,PC,ERROR
2001347N04162,2001-12-22 18:00:00,150.0,20.0,13.9,885.0,float division by zero
2001347N04162,2001-12-22 21:00:00,153.0,20.0,14.3,882.0,float division by zero
2001347N04162,2001-12-23 00:00:00,155.0,20.0,14.8,879.0,float division by zero
2001347N04162,2001-12-23 03:00:00,153.0,18.0,15.2,882.0,float division by zero
2001347N04162,2001-12-23 06:00:00,150.0,15.0,15.6,885.0,float division by zero
2003247N10153,2003-09-10 00:00:00,150.0,20.0,23.7,885.0,float division by zero
2003247N10153,2003-09-10 03:00:00,150.0,18.0,23.8,885.0,float division by zero
2003247N10153,2003-09-10 06:00:00,150.0,15.0,24.0,885.0,float division by zero
2003247N10153,2003-09-10 09:00:00,150.0,15.0,24.2,885.0,float division by zero
2003247N10153,2003-09-10 12:00:00,150.0,15.0,24.3,885.0,float division by zero
2004164N06139,2004-06-16 12:00:00,155.0,5.0,15.7,879.0,float division by zero
2009272N07164,2009-10-04 06:00:00,150.0,15.0,17.0,911.0,float division by zero
2009272N07164,2009-10-04 09:00:00,150.0,15.0,17.2,911.0,float division by zero
2009272N07164,2009-10-04 12:00:00,150.0,15.0,17.5,911.0,float division by zero
2009272N07164,2009-10-04 15:00:00,150.0,15.0,17.7,911.0,float division by zero
2009272N07164,2009-10-04 18:00:00,150.0,15.0,17.9,911.0,float division by zero
2009325N06148,2009-11-25 12:00:00,155.0,15.0,12.6,907.0,float division by zero
2009325N06148,2009-11-25 15:00:00,155.0,15.0,13.1,907.0,float division by zero
2009325N06148,2009-11-25 18:00:00,155.0,15.0,13.6,907.0,float division by zero
2009325N06148,2009-11-25 21:00:00,153.0,15.0,14.1,909.0,float division by zero
2009325N06148,2009-11-26 00:00:00,150.0,15.0,14.6,911.0,float division by zero
2009325N06148,2009-11-27 18:00:00,150.0,20.0,18.7,911.0,float division by zero
2010285N13145,2010-10-17 09:00:00,153.0,10.0,18.3,909.0,float division by zero
2010285N13145,2010-10-17 12:00:00,160.0,10.0,18.1,903.0,float division by zero
2010285N13145,2010-10-17 15:00:00,158.0,10.0,17.8,905.0,float division by zero
2010285N13145,2010-10-17 18:00:00,155.0,10.0,17.6,907.0,float division by zero
2010285N13145,2010-10-17 21:00:00,153.0,10.0,17.5,909.0,float division by zero
2010285N13145,2010-10-18 00:00:00,150.0,10.0,17.4,911.0,float division by zero
2012254N09135,2012-09-13 18:00:00,155.0,20.0,17.2,907.0,float division by zero
2012254N09135,2012-09-13 21:00:00,155.0,20.0,17.6,907.0,float division by zero
2012254N09135,2012-09-14 00:00:00,155.0,20.0,18.1,907.0,float division by zero
2012254N09135,2012-09-14 03:00:00,153.0,20.0,18.6,909.0,float division by zero
2012254N09135,2012-09-14 06:00:00,150.0,20.0,19.1,911.0,float division by zero
