SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,USA_WIND,USA_PRES,USA_SSHS,USA_RMW,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,R34_MEAN,INTENSITY_CAT,LAT_BAND
2001125N05129,2001,22,WP,MM,CIMARON,2001-05-14 12:00:00,MX,27.3,129.2,,1000.0,50.0,997.0,0,60.0,30.0,30.0,30.0,30.0,,,,,,,,,30.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 00:00:00,TS,25.0,150.3,35.0,1004.0,40.0,994.0,0,25.0,60.0,60.0,60.0,60.0,,,,,,,,,60.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 03:00:00,TS,25.1,150.0,,,43.0,993.0,0,25.0,63.0,63.0,63.0,63.0,,,,,,,,,63.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 06:00:00,TS,25.2,149.7,40.0,1002.0,45.0,991.0,0,25.0,65.0,65.0,65.0,65.0,,,,,,,,,65.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 09:00:00,TS,25.3,149.3,,,48.0,989.0,0,25.0,63.0,58.0,58.0,63.0,,,,,,,,,60.5,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 12:00:00,TS,25.3,149.0,40.0,1002.0,50.0,987.0,0,25.0,60.0,50.0,50.0,60.0,,,,,,,,,55.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 15:00:00,TS,25.4,148.8,,,53.0,986.0,0,25.0,60.0,50.0,50.0,60.0,,,,,,,,,55.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 18:00:00,TS,25.3,148.5,40.0,1000.0,55.0,984.0,0,25.0,60.0,50.0,50.0,60.0,,,,,,,,,55.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-22 21:00:00,TS,25.3,148.3,,,58.0,982.0,0,25.0,60.0,50.0,50.0,60.0,,,,,,,,,55.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 00:00:00,TS,25.3,148.0,40.0,998.0,60.0,980.0,0,25.0,60.0,50.0,50.0,60.0,,,,,,,,,55.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 03:00:00,TS,25.3,147.6,,,60.0,980.0,0,30.0,73.0,65.0,55.0,60.0,,,,,,,,,63.25,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 06:00:00,TS,25.3,147.2,45.0,996.0,60.0,980.0,0,35.0,85.0,80.0,60.0,60.0,,,,,,,,,71.25,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 09:00:00,TS,25.3,146.7,,,63.0,978.0,0,35.0,85.0,70.0,60.0,73.0,,,,,,,,,72.0,TS,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 12:00:00,TS,25.3,146.3,45.0,992.0,65.0,976.0,1,35.0,85.0,60.0,60.0,85.0,,,,,,,,,72.5,C1-2,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 15:00:00,TS,25.3,145.8,,,68.0,974.0,1,35.0,85.0,60.0,60.0,85.0,,,,,,,,,72.5,C1-2,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 18:00:00,TS,25.3,145.3,50.0,985.0,70.0,972.0,1,35.0,85.0,60.0,60.0,85.0,,,,,,,,,72.5,C1-2,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-23 21:00:00,TS,25.4,144.7,,,73.0,970.0,1,38.0,88.0,63.0,63.0,88.0,,,,,,,,,75.5,C1-2,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-24 00:00:00,TS,25.5,144.1,55.0,980.0,75.0,967.0,1,40.0,90.0,65.0,65.0,90.0,,,,,,,,,77.5,C1-2,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-24 03:00:00,TS,25.7,143.6,55.0,980.0,75.0,967.0,1,40.0,90.0,65.0,65.0,90.0,,,,,,,,,77.5,C1-2,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-24 06:00:00,TS,25.9,143.0,55.0,980.0,75.0,967.0,1,40.0,90.0,65.0,65.0,90.0,,,,,,,,,77.5,C1-2,25-35N
2001202N23152,2001,38,WP,MM,KONG-REY,2001-07-24 09:00:00,TS,26.0,142.6,55.0,980.0,78.0,965.0,1,40.0,90.0,65.0,65.0,90.0,,,,,,,,,77.5,C1-2,25-35N
