SID,NAME,SEASON,N_SNAPS,VMAX,MIN_PRES,MEAN_RMW,MEAN_R34,MEAN_LAT,MAX_CAT,LAT_BAND_MODE,SIZE_CLASS
2001125N05129,CIMARON,2001,1,50.0,997.0,60.0,30.0,27.3,TS,25-35N,compact
2001202N23152,KONG-REY,2001,51,85.0,958.0,28.137254901960784,88.81372549019608,28.119607843137253,C1-2,25-35N,average
2001204N19127,YUTU,2001,15,85.0,958.0,32.53333333333333,80.45,20.773333333333333,C1-2,15-25N,average
2001206N14134,TORAJI,2001,31,100.0,944.0,39.0,148.09677419354838,21.190322580645162,C3-5,15-25N,large
2001212N10158,MAN-YI,2001,49,120.0,922.0,36.16326530612245,103.58163265306122,23.39591836734694,C3-5,25-35N,average
2001220N17118,USAGI,2001,1,40.0,994.0,50.0,58.75,18.1,TS,15-25N,compact
2001225N18146,PABUK,2001,62,90.0,954.0,50.0,196.5040322580645,25.706451612903226,C1-2,15-25N,large
2001238N16139,WUTIP,2001,47,130.0,910.0,23.53191489361702,99.30319148936171,26.34255319148936,C3-5,25-35N,average
2001238N18162,SEPAT,2001,5,45.0,991.0,40.0,80.5,25.32,TS,25-35N,average
2001239N19116,FITOW,2001,3,45.0,991.0,30.0,52.666666666666664,21.366666666666664,TS,15-25N,compact
2001246N19156,DANAS,2001,43,105.0,938.0,23.069767441860463,152.5406976744186,27.786046511627905,C3-5,25-35N,large
2001248N23125,NARI,2001,89,100.0,944.0,21.303370786516854,73.53651685393258,26.152808988764043,C3-5,25-35N,average
2001259N20138,VIPA,2001,17,70.0,972.0,20.823529411764707,75.73529411764706,31.605882352941173,C1-2,25-35N,average
2001260N14167,FRANCISCO,2001,42,100.0,944.0,28.142857142857142,108.71428571428571,22.714285714285715,C3-5,15-25N,large
2001264N21126,LEKIMA,2001,33,95.0,949.0,22.939393939393938,95.16666666666667,21.042424242424243,C1-2,15-25N,average
2001276N13146,KROSA,2001,41,105.0,938.0,20.634146341463413,131.40243902439025,24.087804878048782,C3-5,15-25N,large
2001284N16132,HAIYAN,2001,37,90.0,954.0,29.27027027027027,141.41216216216216,22.94864864864865,C1-2,15-25N,large
2001291N05158,PODUL,2001,61,140.0,898.0,28.81967213114754,130.26639344262296,17.365573770491803,C3-5,15-25N,large
2001309N10130,LINGLING,2001,34,115.0,927.0,28.147058823529413,119.18382352941177,12.88529411764706,C3-5,00-15N,large
2001321N07148,UNNAMED,2001,5,35.0,,50.0,56.55,13.24,TS,00-15N,compact
2001323N05107,UNNAMED,2001,1,35.0,997.0,45.0,45.0,7.6,TS,00-15N,compact
2001347N04162,FAXAI,2001,66,155.0,879.0,19.666666666666668,103.85606060606061,11.754545454545454,C3-5,00-15N,average
2001361N01106,VAMEI,2001,6,65.0,976.0,27.5,67.29166666666667,1.5833333333333333,C1-2,00-15N,compact
2002008N07141,TAPAH,2002,14,50.0,987.0,33.07142857142857,55.214285714285715,14.535714285714286,TS,00-15N,compact
2002057N06156,MITAG,2002,61,140.0,898.0,25.65573770491803,122.20081967213115,11.89344262295082,C3-5,00-15N,large
2002133N03150,HAGIBIS,2002,36,140.0,898.0,25.36111111111111,86.50694444444444,19.541666666666668,C3-5,15-25N,average
2002155N20112,NOGURI,2002,25,85.0,958.0,23.48,69.35,23.715999999999998,C1-2,15-25N,compact
2002178N04155,CHATAAN,2002,92,130.0,910.0,23.565217391304348,110.22010869565217,15.1,C3-5,00-15N,large
2002178N10139,RAMMASUN,2002,50,110.0,933.0,24.04,125.12,21.778000000000002,C3-5,15-25N,large
2002187N11160,HALONG,2002,59,135.0,904.0,18.06779661016949,121.95762711864407,17.220338983050848,C3-5,00-15N,large
2002189N21116,NAKRI,2002,26,40.0,994.0,46.07692307692308,64.39423076923077,25.642307692307693,TS,25-35N,compact
2002195N11172,FENGSHEN,2002,94,145.0,892.0,23.0,122.31117021276596,20.843617021276597,C3-5,15-25N,large
2002198N09182,KALMAEGI,2002,1,30.0,1000.0,40.0,115.0,16.7,TD,15-25N,large
2002200N21150,FUNG-WONG,2002,43,65.0,976.0,26.11627906976744,60.13953488372093,23.127906976744185,C1-2,15-25N,compact
2002214N19120,KAMMURI,2002,11,50.0,987.0,30.0,87.9090909090909,21.490909090909092,TS,15-25N,average
2002222N09163,PHANFONE,2002,69,135.0,904.0,26.797101449275363,153.46376811594203,23.395652173913042,C3-5,25-35N,large
2002227N14115,VONGFONG,2002,7,55.0,984.0,22.571428571428573,60.0,19.3,TS,15-25N,compact
2002234N14164,RUSA,2002,66,115.0,927.0,24.636363636363637,130.8068181818182,24.242424242424242,C3-5,15-25N,large
2002237N10202,ELE,2002,91,115.0,927.0,62.89010989010989,126.86263736263736,22.125274725274725,C3-5,25-35N,large
2002240N16155,SINLAKU,2002,78,110.0,933.0,38.205128205128204,132.70833333333334,24.616666666666667,C3-5,15-25N,large
2002252N20121,HAGUPIT,2002,6,45.0,991.0,24.666666666666668,110.0,21.033333333333335,TS,15-25N,large
2002264N13114,MEKKHALA,2002,15,55.0,984.0,22.0,55.95,18.566666666666666,TS,15-25N,compact
2002268N15163,HIGOS,2002,36,135.0,904.0,22.055555555555557,114.27777777777777,21.691666666666666,C3-5,15-25N,large
2002282N10156,BAVI,2002,27,70.0,972.0,63.0,190.0648148148148,24.203703703703702,C1-2,15-25N,large
2002297N09206,HUKO,2002,97,75.0,967.0,19.65979381443299,101.7860824742268,15.830927835051545,C1-2,00-15N,average
2002298N17169,MAYSAK,2002,13,75.0,967.0,25.615384615384617,83.4423076923077,26.6,C1-2,25-35N,average
2002323N09155,HAISHEN,2002,27,95.0,949.0,27.77777777777778,123.01851851851852,19.062962962962963,C1-2,15-25N,large
2002335N05166,PONGSONA,2002,23,70.0,972.0,29.304347826086957,82.58695652173913,8.482608695652173,C1-2,00-15N,average
2003011N02180,YANYAN,2003,24,50.0,987.0,40.625,76.90625,14.633333333333333,TS,00-15N,average
2003098N03159,KUJIRA,2003,111,135.0,904.0,26.684684684684683,114.38063063063063,13.554954954954955,C3-5,00-15N,large
2003138N04148,CHAN-HOM,2003,45,115.0,927.0,20.755555555555556,103.56111111111112,16.566666666666666,C3-5,00-15N,average
