Model,Radius,N,Bias,MAE,r,RMSE,CI_lo,CI_hi
Rankine,R34,18146,-1.1,43.1,0.54,64.1,59.4,68.9
Holland (1980),R34,18050,4.5,38.3,0.41,48.9,46.7,51.4
Holland (2010),R34,18141,91.0,97.9,0.58,127.8,120.9,134.0
Willoughby (2006),R34,18146,-3.8,28.0,0.65,37.3,34.9,39.8
"Emanuel (2004), hyp.",R34,18146,91.7,100.9,0.58,140.1,132.5,147.9
Chavas (2015),R34,17979,-6.4,36.9,0.52,52.6,48.6,57.0
Rankine,R50,10465,-4.4,22.3,0.51,32.4,29.7,34.9
Holland (1980),R50,10349,6.0,23.1,0.46,29.2,27.7,31.0
Holland (2010),R50,10465,36.7,43.5,0.55,58.5,54.5,62.5
Willoughby (2006),R50,10465,5.4,18.7,0.61,24.2,22.4,26.0
"Emanuel (2004), hyp.",R50,10465,46.3,53.5,0.51,76.8,71.2,82.7
Chavas (2015),R50,10304,-3.2,20.7,0.5,28.5,26.3,30.9
Rankine,R64,7259,1.5,14.4,0.48,20.6,18.8,22.5
Holland (1980),R64,7151,9.5,16.5,0.45,21.3,19.8,22.8
Holland (2010),R64,7259,27.8,31.4,0.5,41.5,38.2,44.9
Willoughby (2006),R64,7259,8.7,14.0,0.54,17.3,16.4,18.2
"Emanuel (2004), hyp.",R64,7259,36.3,39.7,0.48,54.5,50.0,58.9
Chavas (2015),R64,7102,4.1,14.1,0.45,18.9,17.5,20.4
